"RecordNo";"project_id";"mushrooms";"Awareness_score";"Usage_score";"Preference_score";"Familiarity_score";"FutureUsage_score";"Satisfaction_score"
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Go³¹bek";2;4;4;3;4;2
1150;1;"Go³¹bek";2;4;5;3;4;2
1150;1;"Go³¹bek";2;4;4;3;4;2
1150;1;"Go³¹bek";2;4;5;3;4;2
1150;1;"Go³¹bek";2;4;5;3;4;2
1150;1;"Go³¹bek";2;4;4;3;4;2
1150;1;"Go³¹bek";2;4;4;3;4;2
1150;1;"Go³¹bek";2;4;4;3;4;2
1150;1;"Go³¹bek";2;4;5;3;4;2
1150;1;"Go³¹bek";2;4;4;3;4;2
1150;1;"Go³¹bek";2;4;4;3;4;2
1150;1;"Go³¹bek";2;4;5;3;4;2
1150;1;"Go³¹bek";2;4;4;3;4;2
1150;1;"Go³¹bek";2;4;5;3;4;2
1150;1;"Go³¹bek";2;4;5;3;4;2
1150;1;"Go³¹bek";2;4;5;3;4;2
1150;1;"Go³¹bek";2;4;4;3;4;2
1150;1;"Go³¹bek";2;4;4;3;4;2
1150;1;"Go³¹bek";2;4;5;3;4;2
1150;1;"Go³¹bek";2;4;5;3;4;2
1150;1;"Go³¹bek";2;4;4;3;4;2
1150;1;"Go³¹bek";2;4;5;3;4;2
1150;1;"Go³¹bek";2;4;4;3;4;2
1150;1;"Go³¹bek";2;4;4;3;4;2
1150;1;"Go³¹bek";2;4;4;3;4;2
1150;1;"Go³¹bek";2;4;5;3;4;2
1150;1;"Go³¹bek";2;4;5;3;4;2
1150;1;"Go³¹bek";2;4;5;3;4;2
1150;1;"Go³¹bek";2;4;5;3;4;2
1150;1;"Go³¹bek";2;4;5;3;4;2
1150;1;"Go³¹bek";2;4;4;3;4;2
1150;1;"Go³¹bek";2;4;4;3;4;2
1150;1;"KoŸlarz";2;1;5;5;5;1
